X,Y,PROFONDEUR
2495080.85,1113816.29,
2494178.91,1114365.84,162
2495001.3,1114603.15,95
2494802.48,1114157.47,130
2494638.91,1114069.02,150
2492205.19,1116359.89,112
2495722.4,1115658.81,132
2495097.92,1113793.93,
2495641.18,1115724.16,
2495109.3,1113747.89,
2495084.43,1113811.13,
2495546.34,1114516.99,150
2495547.42,1114525.34,150
2505272.07,1133794.53,180
2505275.98,1133800.35,180
2505281.91,1133796.35,180
2505277.88,1133790.62,180
2493651.74,1120531.2,228
2493645.74,1120525.98,228
2493657.33,1120525.01,228
2493649.61,1120518.08,228
2493657.1,1120513.42,228
2493663.03,1120518.71,228
2499268.29,1121978.23,98
2499270.12,1121978.99,98
2496492.8,1116690.93,170
2496496.1,1116685.92,170
2497848.21,1120825.84,120
2497853.08,1120821.79,120
2504120.94,1115569.53,140
2505848.86,1123325.02,90
2505874.48,1123316.56,130
2505867.05,1123329.15,130
2505868.72,1123319.82,130
2498976.39,1125157.65,200
2503404.33,1119803.23,150
2503399.06,1119801.47,150
2503393.7,1119791.66,150
2503399.96,1119792.78,150
2503403.45,1119797.61,150
2502980.42,1117105.17,200
2502971.42,1117106.17,200
2502967.42,1117098.17,200
2502964.42,1117090.17,200
2502993.42,1117105.17,200
2506038.07,1117632.62,110
2506040.46,1117624.93,110
2500093.26,1123873.83,140
2500099.29,1123878.69,140
2500105.37,1123883.6,140
2500109.16,1123878.92,140
2500103.08,1123874.06,140
2500097,1123869.2,140
2488761.44,1116544.54,
2494163.03,1119356.07,
2494157.47,1119350.2,
2494151.81,1119344.44,
2494146.05,1119338.68,
2494140.29,1119332.92,
2494134.63,1119327.16,
2494128.98,1119321.4,
2494123.52,1119315.95,
2494117.97,1119310.29,
2494112.11,1119304.43,
2500148.03,1123936.44,214
2500143.55,1123932.37,214
2500143.91,1123940.88,214
2500139.43,1123936.76,214
2500139.8,1123945.27,214
2500135.36,1123941.15,214
2500135.73,1123949.66,214
2500131.3,1123945.64,214
2500131.66,1123954,214
2500127.23,1123949.98,214
2500127.6,1123958.44,214
2500123.16,1123954.42,214
2500123.53,1123962.82,214
2500115.02,1123963.19,214
2500115.39,1123971.6,214
2504870,1121895.24,
2504874.38,1121891.13,
2500959.21,1126994.36,
2494106.65,1119310.19,
2494117.87,1119321.61,
2494123.32,1119327.06,
2498062.1,1116058.51,80
2497733.62,1120886.77,190
2497727.97,1120880.99,
2504171.43,1116148.35,140
2505738.55,1117799.58,48
2505734.63,1117797.73,48
2505738.92,1117795.4,48
2503400.11,1119806.71,150
2503395.08,1119808.94,150
2505842.57,1123326.21,90
2497521.41,1115620.16,220
2497527.23,1115614.67,220
2497533.05,1115609.19,220
2497538.87,1115603.7,220
2497544.69,1115598.21,220
2497550.51,1115592.72,220
2497556.34,1115587.23,220
2497562.16,1115581.75,220
2498555.66,1116121.3,160
2498562.53,1116120.43,160
2498556.61,1116128.26,160
2498563.81,1116129.87,160
2498557.48,1116135.26,160
